time,strategy,event,ticker,side,contracts,price,multiplier,fee,cost,payout,pnl,result,strike,btc_price,final_value,balance_after,model_prob,edge
2026-09-20T12:29:05,Value,BET,KXBTC15M-26SEP201530-30,DOWN,9,0.31,3.23,0.14,2.93,,,,81079.48,81083.78,,149.55,0.382,0.057
2026-09-20T12:29:05,Model,BET,KXBTC15M-26SEP201530-30,DOWN,24,0.31,3.23,0.36,7.8,,,,81079.48,81083.78,,148.81,0.47,0.145
2026-09-20T12:29:05,Late,BET,KXBTC15M-26SEP201530-30,DOWN,24,0.31,3.23,0.36,7.8,,,,81079.48,81083.78,,148.81,0.47,0.145
2026-09-20T12:29:05,Scalper,BET,KXBTC15M-26SEP201530-30,DOWN,9,0.31,3.23,0.14,2.93,,,,81079.48,81083.78,,149.55,0.382,0.057
2026-09-20T12:30:06,Value,SETTLED,KXBTC15M-26SEP201530-30,DOWN,9,0.31,3.23,0.14,2.93,0.0,-2.93,yes,81079.48,81109.49,81094.00,147.07,0.382,0.057
2026-09-20T12:30:06,Model,SETTLED,KXBTC15M-26SEP201530-30,DOWN,24,0.31,3.23,0.36,7.8,0.0,-7.8,yes,81079.48,81109.49,81094.00,142.2,0.47,0.145
2026-09-20T12:30:06,Late,SETTLED,KXBTC15M-26SEP201530-30,DOWN,24,0.31,3.23,0.36,7.8,0.0,-7.8,yes,81079.48,81109.49,81094.00,142.2,0.47,0.145
2026-09-20T12:30:06,Scalper,SETTLED,KXBTC15M-26SEP201530-30,DOWN,9,0.31,3.23,0.14,2.93,0.0,-2.93,yes,81079.48,81109.49,81094.00,147.07,0.382,0.057
2026-09-20T12:32:09,Model,BET,KXBTC15M-26SEP201545-45,UP,18,0.87,1.15,0.15,15.81,,,,81094.0,81204.95,,141.52,0.933,0.055
2026-09-20T12:33:12,Model,BET,KXBTC15M-26SEP201545-45,UP,18,0.89,1.12,0.13,16.15,,,,81094.0,81214.44,,141.26,0.95,0.054
2026-09-20T12:33:32,Model,BET,KXBTC15M-26SEP201545-45,UP,19,0.9,1.11,0.12,17.22,,,,81094.0,81226.31,,140.99,0.969,0.063
2026-09-20T12:45:05,Model,SETTLED,KXBTC15M-26SEP201545-45,UP,18,0.87,1.15,0.15,15.81,18.0,2.19,yes,81094.0,81203.33,81209.88,148.02,0.933,0.055
2026-09-20T12:45:05,Model,SETTLED,KXBTC15M-26SEP201545-45,UP,18,0.89,1.12,0.13,16.15,18.0,1.85,yes,81094.0,81203.33,81209.88,148.02,0.95,0.054
2026-09-20T12:45:05,Model,SETTLED,KXBTC15M-26SEP201545-45,UP,19,0.9,1.11,0.12,17.22,19.0,1.78,yes,81094.0,81203.33,81209.88,148.02,0.969,0.063
2026-09-20T12:54:57,Model,BET,KXBTC15M-26SEP201600-00,UP,17,0.87,1.15,0.14,14.93,,,,81209.88,81265.79,,147.38,0.928,0.051
2026-09-20T12:56:40,Model,BET,KXBTC15M-26SEP201600-00,UP,9,0.28,3.57,0.13,2.65,,,,81209.88,81198.53,,136.84,0.352,0.057
2026-09-20T12:57:04,Favorite,BET,KXBTC15M-26SEP201600-00,DOWN,3,0.8,1.25,0.04,2.44,,,,81209.88,81181.49,,149.86,0.825,0.014
2026-09-20T13:00:08,Model,SETTLED,KXBTC15M-26SEP201600-00,UP,17,0.87,1.15,0.14,14.93,0.0,-14.93,no,81209.88,81162.45,81155.39,130.44,0.928,0.051
2026-09-20T13:00:08,Model,SETTLED,KXBTC15M-26SEP201600-00,UP,9,0.28,3.57,0.13,2.65,0.0,-2.65,no,81209.88,81162.45,81155.39,130.44,0.352,0.057
2026-09-20T13:00:08,Favorite,SETTLED,KXBTC15M-26SEP201600-00,DOWN,3,0.8,1.25,0.04,2.44,3.0,0.56,no,81209.88,81162.45,81155.39,150.56,0.825,0.014
2026-09-20T13:06:06,Model,BET,KXBTC15M-26SEP201615-15,UP,11,0.77,1.3,0.14,8.61,,,,81155.39,81206.21,,129.93,0.841,0.058
2026-09-20T13:07:30,Model,BET,KXBTC15M-26SEP201615-15,UP,10,0.82,1.22,0.11,8.31,,,,81155.39,81208.23,,130.07,0.881,0.05
2026-09-20T13:08:09,Model,BET,KXBTC15M-26SEP201615-15,UP,10,0.79,1.27,0.12,8.02,,,,81155.39,81201.86,,128.97,0.861,0.06
