time,strategy,event,ticker,side,contracts,price,multiplier,fee,cost,payout,pnl,result,strike,btc_price,final_value,balance_after,model_prob,edge
2026-09-20T12:29:13,Value,BET,KXETH15M-26SEP201530-30,DOWN,6,0.7,1.43,0.09,4.29,,,,2627.45,2627.2,,149.69,0.751,0.037
2026-09-20T12:29:13,Model,BET,KXETH15M-26SEP201530-30,DOWN,18,0.7,1.43,0.27,12.87,,,,2627.45,2627.2,,149.09,0.817,0.103
2026-09-20T12:29:13,Late,BET,KXETH15M-26SEP201530-30,DOWN,18,0.7,1.43,0.27,12.87,,,,2627.45,2627.2,,149.09,0.817,0.103
2026-09-20T12:29:13,Scalper,BET,KXETH15M-26SEP201530-30,DOWN,6,0.7,1.43,0.09,4.29,,,,2627.45,2627.2,,149.69,0.751,0.037
2026-09-20T12:29:13,Favorite,BET,KXETH15M-26SEP201530-30,DOWN,18,0.7,1.43,0.27,12.87,,,,2627.45,2627.2,,149.09,0.817,0.103
2026-09-20T12:29:32,Scalper,SOLD,KXETH15M-26SEP201530-30,DOWN,6,0.4,1.43,0.09,4.29,2.29,-2.0,,2627.45,2628.99,,147.48,0.751,0.037
2026-09-20T12:29:32,Scalper,BET,KXETH15M-26SEP201530-30,UP,8,0.6,1.67,0.14,4.94,,,,2627.45,2628.99,,147.48,0.672,0.056
2026-09-20T12:29:36,Late,BET,KXETH15M-26SEP201530-30,DOWN,1,0.33,3.03,0.02,0.35,,,,2627.45,2628.4,,142.38,0.386,0.041
2026-09-20T12:29:41,Model,BET,KXETH15M-26SEP201530-30,DOWN,1,0.26,3.85,0.02,0.28,,,,2627.45,2628.43,,141.16,0.359,0.085
2026-09-20T12:29:47,Scalper,SOLD,KXETH15M-26SEP201530-30,UP,8,0.91,1.67,0.14,4.94,7.22,2.28,,2627.45,2628.29,,150.28,0.672,0.056
2026-09-20T12:30:09,Value,SETTLED,KXETH15M-26SEP201530-30,DOWN,6,0.7,1.43,0.09,4.29,0.0,-4.29,yes,2627.45,2629.44,2627.53,145.71,0.751,0.037
2026-09-20T12:30:09,Model,SETTLED,KXETH15M-26SEP201530-30,DOWN,18,0.7,1.43,0.27,12.87,0.0,-12.87,yes,2627.45,2629.44,2627.53,136.85,0.817,0.103
2026-09-20T12:30:09,Model,SETTLED,KXETH15M-26SEP201530-30,DOWN,1,0.26,3.85,0.02,0.28,0.0,-0.28,yes,2627.45,2629.44,2627.53,136.85,0.359,0.085
2026-09-20T12:30:09,Late,SETTLED,KXETH15M-26SEP201530-30,DOWN,18,0.7,1.43,0.27,12.87,0.0,-12.87,yes,2627.45,2629.44,2627.53,136.78,0.817,0.103
2026-09-20T12:30:09,Late,SETTLED,KXETH15M-26SEP201530-30,DOWN,1,0.33,3.03,0.02,0.35,0.0,-0.35,yes,2627.45,2629.44,2627.53,136.78,0.386,0.041
