session,time,strategy,coin,ticker,side,contracts,why,entry,exit,cost,sold_for,booked,held_would_pay,gave_up,tau_at_exit,result
20260920_222952,2026-09-20T22:45:06,Scalper,DOGE,KXDOGE15M-26SEP210145-45,DOWN,1,value,0.17,0.57,0.18,0.55,0.37,1.0,0.45,139,no
20260920_222952,2026-09-20T22:45:06,Scalper,DOGE,KXDOGE15M-26SEP210145-45,DOWN,10,value,0.21,0.57,2.22,5.52,3.3,10.0,4.48,139,no
20260920_222952,2026-09-20T22:45:06,Scalper,DOGE,KXDOGE15M-26SEP210145-45,DOWN,30,value,0.48,0.57,14.93,16.58,1.65,30.0,13.42,139,no
20260920_222952,2026-09-20T22:45:06,Scalper,DOGE,KXDOGE15M-26SEP210145-45,DOWN,32,value,0.44,0.57,14.64,17.69,3.05,32.0,14.31,139,no
20260920_222952,2026-09-20T22:45:06,Scalper,DOGE,KXDOGE15M-26SEP210145-45,DOWN,5,value,0.49,0.57,2.54,2.76,0.22,5.0,2.24,139,no
20260920_222952,2026-09-20T22:45:06,Scalper,DOGE,KXDOGE15M-26SEP210145-45,DOWN,4,value,0.44,0.57,1.83,2.21,0.38,4.0,1.79,139,no
20260920_222952,2026-09-20T22:45:06,Scalper,DOGE,KXDOGE15M-26SEP210145-45,DOWN,29,value,0.34,0.57,10.32,16.03,5.71,29.0,12.97,139,no
20260920_222952,2026-09-20T22:45:06,Scalper,DOGE,KXDOGE15M-26SEP210145-45,DOWN,22,value,0.38,0.57,8.73,12.16,3.43,22.0,9.84,139,no
20260920_222952,2026-09-20T22:45:06,Anti Scalper,DOGE,KXDOGE15M-26SEP210145-45,UP,2,mirror,0.82,0.38,1.67,0.72,-0.95,0.0,-0.72,139,no
20260920_222952,2026-09-20T22:45:06,Anti Scalper,DOGE,KXDOGE15M-26SEP210145-45,UP,15,mirror,0.55,0.38,8.51,5.45,-3.06,0.0,-5.45,139,no
20260920_222952,2026-09-20T22:45:06,Anti Scalper,DOGE,KXDOGE15M-26SEP210145-45,UP,10,mirror,0.59,0.38,6.07,3.63,-2.44,0.0,-3.63,139,no
20260920_222952,2026-09-20T22:45:06,Anti Scalper,DOGE,KXDOGE15M-26SEP210145-45,UP,4,mirror,0.54,0.38,2.23,1.45,-0.78,0.0,-1.45,139,no
20260920_222952,2026-09-20T22:45:06,Anti Scalper,DOGE,KXDOGE15M-26SEP210145-45,UP,2,mirror,0.6,0.38,1.24,0.72,-0.52,0.0,-0.72,139,no
20260920_222952,2026-09-20T22:45:06,Anti Scalper,DOGE,KXDOGE15M-26SEP210145-45,UP,14,mirror,0.69,0.38,9.87,5.08,-4.79,0.0,-5.08,139,no
